symbol,timeframe,math_principle,predicted_metric,ml_model_type,model_accuracy_percent,model_size_kb

BTC-USD,daily,Power Law Distributions,Tail Risk,XGBoost,73.86,867.17
BTC-USD,daily,Volatility Regime,Regime State,LogisticRegression,93.01,1.72
BTC-USD,daily,Volatility Regime,Regime State,XGBoost,93.01,164.02
BTC-USD,daily,Volatility Regime,Regime State,LightGBM,93.01,89.71
BTC-USD,daily,Volatility Regime,Regime State,CatBoost,93.01,33.86
BTC-USD,daily,Topological Persistence,Regime Change,XGBoost,94.7,448.13
BTC-USD,daily,Topological Persistence,Regime Change,LightGBM,95.12,555.34
BTC-USD,daily,Topological Persistence,Regime Change,CatBoost,92.42,1279.69
BTC-USD,daily,Complex Systems Emergence,Regime Emergence,LogisticRegression,84.34,1.75
BTC-USD,daily,Complex Systems Emergence,Regime Emergence,XGBoost,83.16,429.01
BTC-USD,daily,Complex Systems Emergence,Regime Emergence,LightGBM,83.59,129.44
BTC-USD,daily,Complex Systems Emergence,Regime Emergence,CatBoost,83.67,143.89
BTC-USD,hourly,Power Law Distributions,Tail Risk,XGBoost,78.48,1286.54
BTC-USD,hourly,Power Law Distributions,Tail Risk,LightGBM,86.12,308.88
BTC-USD,hourly,Power Law Distributions,Tail Risk,CatBoost,75.84,1612.35
BTC-USD,hourly,Volatility Regime,Regime State,LogisticRegression,91.76,1.72
BTC-USD,hourly,Volatility Regime,Regime State,XGBoost,91.76,218.51
BTC-USD,hourly,Volatility Regime,Regime State,LightGBM,91.76,167.55
BTC-USD,hourly,Volatility Regime,Regime State,CatBoost,91.76,280.8
BTC-USD,hourly,Topological Persistence,Regime Change,XGBoost,93.53,537.39
BTC-USD,hourly,Topological Persistence,Regime Change,LightGBM,93.63,614.07
BTC-USD,hourly,Topological Persistence,Regime Change,CatBoost,90.85,734.71
BTC-USD,hourly,Complex Systems Emergence,Regime Emergence,LogisticRegression,84.82,1.75
BTC-USD,hourly,Complex Systems Emergence,Regime Emergence,XGBoost,82.52,192.43
BTC-USD,hourly,Complex Systems Emergence,Regime Emergence,LightGBM,82.47,223.25
BTC-USD,hourly,Complex Systems Emergence,Regime Emergence,CatBoost,82.85,2975.78
ETH-USD,daily,Power Law Distributions,Tail Risk,XGBoost,72.93,592.4
ETH-USD,daily,Volatility Regime,Regime State,LogisticRegression,90.62,1.72
ETH-USD,daily,Volatility Regime,Regime State,XGBoost,90.62,77.12
ETH-USD,daily,Volatility Regime,Regime State,LightGBM,90.62,485.31
ETH-USD,daily,Volatility Regime,Regime State,CatBoost,90.62,42.57
ETH-USD,daily,Topological Persistence,Regime Change,XGBoost,93.93,310.11
ETH-USD,daily,Topological Persistence,Regime Change,LightGBM,94.48,340.12
ETH-USD,daily,Topological Persistence,Regime Change,CatBoost,93.82,2845.58
ETH-USD,daily,Complex Systems Emergence,Regime Emergence,LogisticRegression,85.0,1.75
ETH-USD,daily,Complex Systems Emergence,Regime Emergence,XGBoost,82.78,213.48
ETH-USD,daily,Complex Systems Emergence,Regime Emergence,LightGBM,83.0,380.44
ETH-USD,daily,Complex Systems Emergence,Regime Emergence,CatBoost,84.22,43.99
ETH-USD,hourly,Power Law Distributions,Tail Risk,XGBoost,74.02,1054.9
ETH-USD,hourly,Power Law Distributions,Tail Risk,CatBoost,70.08,3189.9
ETH-USD,hourly,Volatility Regime,Regime State,LogisticRegression,93.77,1.72
ETH-USD,hourly,Volatility Regime,Regime State,XGBoost,93.77,322.77
ETH-USD,hourly,Volatility Regime,Regime State,LightGBM,93.77,213.19
ETH-USD,hourly,Volatility Regime,Regime State,CatBoost,93.77,84.96
ETH-USD,hourly,Topological Persistence,Regime Change,XGBoost,94.64,699.8
ETH-USD,hourly,Topological Persistence,Regime Change,LightGBM,94.97,675.53
ETH-USD,hourly,Topological Persistence,Regime Change,CatBoost,92.58,1407.48
ETH-USD,hourly,Complex Systems Emergence,Regime Emergence,LogisticRegression,84.39,1.75
ETH-USD,hourly,Complex Systems Emergence,Regime Emergence,XGBoost,83.81,211.49
ETH-USD,hourly,Complex Systems Emergence,Regime Emergence,LightGBM,83.91,207.39
ETH-USD,hourly,Complex Systems Emergence,Regime Emergence,CatBoost,84.34,36.91
BNB-USD,daily,Volatility Regime,Regime State,LogisticRegression,95.58,1.72
BNB-USD,daily,Volatility Regime,Regime State,XGBoost,95.58,197.93
BNB-USD,daily,Volatility Regime,Regime State,LightGBM,95.58,252.61
