ticker,timeframe,date,future_vol_rmse,future_vol_accuracy,expansionP_accuracy,expansionP_roc_auc
BTC-USD,daily,2026-03-06,0.006086880704019617,0.6994350282485876,0.7435028248587571,0.8202020615601937
BTC-USD,hourly,2026-03-06,0.0020430517385308508,0.7635960044395117,0.7977247502774695,0.8811844541934462
ETH-USD,daily,2026-03-06,0.009327788440574431,0.7496038034865293,0.7385103011093502,0.8497838109602815
ETH-USD,hourly,2026-03-06,0.002654027503260428,0.7644562334217506,0.789920424403183,0.8769184236640704
BNB-USD,daily,2026-03-06,0.006545605660382019,0.7127158555729984,0.7692307692307693,0.8528586601470913
BNB-USD,hourly,2026-03-06,0.002101338201071554,0.7553636839351126,0.7684458398744113,0.8583929726147763
SOL-USD,daily,2026-03-06,0.010292919788632218,0.7231121281464531,0.7276887871853547,0.8330529857022708
SOL-USD,hourly,2026-03-06,0.0022537026614183817,0.7479481069631984,0.7799841143764893,0.8647625439451915
ADA-USD,daily,2026-03-06,0.014179859657547955,0.7763371150729336,0.747163695299838,0.851338230327592
ADA-USD,hourly,2026-03-06,0.0031512767994998914,0.7654512542022239,0.7804499612102405,0.8686213759566653
XRP-USD,daily,2026-03-06,0.01200823128067819,0.7484076433121019,0.7643312101910829,0.8549461082729154
XRP-USD,hourly,2026-03-06,0.0025271620755743748,0.7584284576586143,0.7815237589593841,0.8723199326892561
DOT-USD,daily,2026-03-06,0.013241035672574428,0.7951807228915663,0.7662650602409639,0.8635814515379612
DOT-USD,hourly,2026-03-06,0.003707440048234091,0.7805006587615283,0.7849802371541502,0.8756251783039726
DOGE-USD,daily,2026-03-06,0.01139806189671802,0.7432646592709984,0.7464342313787639,0.8428197381671703
DOGE-USD,hourly,2026-03-06,0.002955286851420308,0.7624251886546969,0.7881863127764767,0.8758070353509104
AVAX-USD,daily,2026-03-06,0.011717162995666988,0.7407407407407407,0.7382716049382716,0.8373561811505508
AVAX-USD,hourly,2026-03-06,0.0030255706930062396,0.7654867256637168,0.7988027069234773,0.8852063083787389
LINK-USD,daily,2026-03-06,0.010492710265079449,0.7413249211356467,0.7791798107255521,0.8710984393757503
LINK-USD,hourly,2026-03-06,0.0028762299367933045,0.76049766718507,0.7804561949196475,0.8690468575623488
TRX-USD,daily,2026-03-06,0.017060035352740786,0.6576862123613312,0.7305863708399366,0.8178885630498532
TRX-USD,hourly,2026-03-06,0.0009156828213013264,0.6949152542372882,0.757496740547588,0.8439520186243497
HYPE-USD,daily,2026-03-06,0.02011179511808396,0.6703296703296703,0.5824175824175825,0.6102228682170543
HYPE-USD,hourly,2026-03-06,0.003121391520207311,0.7105030891438658,0.736981465136805,0.8235035514252637
SUI-USD,daily,2026-03-06,0.01262086990082181,0.7655502392344498,0.7464114832535885,0.8044713212387758
SUI-USD,hourly,2026-03-06,0.004369994612195981,0.7326680672268907,0.7809873949579832,0.8704343161741288
XLM-USD,daily,2026-03-06,0.012120627375543288,0.7600644122383253,0.7375201288244766,0.8589813285382735
XLM-USD,hourly,2026-03-06,0.00270051873408815,0.7683438155136268,0.7780398322851153,0.8712954321821126
BCH-USD,daily,2026-03-06,0.0123489726180427,0.7904,0.7872,0.863037049207262
BCH-USD,hourly,2026-03-06,0.0019357645878529458,0.7385381189415772,0.7754781241812942,0.8593012721197435
HBAR-USD,daily,2026-03-06,0.01477753448996606,0.7693877551020408,0.7775510204081633,0.8813943340494093
HBAR-USD,hourly,2026-03-06,0.0027791064647536886,0.7420031463030938,0.7779234399580492,0.8699116370789004
